,Series6_A549-ACE2_Mock_1,Series6_A549-ACE2_Mock_2,Series6_A549-ACE2_Mock_3,Series6_A549-ACE2_SARS-CoV-2_1,Series6_A549-ACE2_SARS-CoV-2_2,Series6_A549-ACE2_SARS-CoV-2_3,Series16_A549-ACE2_Mock_1,Series16_A549-ACE2_Mock_2,Series16_A549-ACE2_Mock_3,Series16_A549-ACE2_SARS-CoV-2_1,Series16_A549-ACE2_SARS-CoV-2_2,Series16_A549-ACE2_SARS-CoV-2_3
MGC16275,1,0,3,0,0,2,3,23,23,13,8,12
TTYH2,224,21,172,35,20,6,23,85,75,34,31,36
DNAI2,0,0,1,2,2,0,0,1,0,1,0,2
KIF19,1,0,0,8,1,0,0,0,0,0,0,0
BTBD17,0,0,0,1,1,1,0,0,0,0,0,0
GPR142,0,0,0,65,13,6,0,2,0,1,2,3
GPRC5C,792,76,607,318,98,70,81,334,339,244,267,268
CD300A,0,0,0,6,0,0,0,1,0,0,1,0
CD300LB,0,1,0,47,4,3,0,1,2,4,4,8
CD300C,0,0,0,0,0,0,0,1,2,1,0,0
CD300LD,0,0,0,0,0,0,0,0,0,0,0,0
C17orf77,0,0,0,1,0,0,0,0,0,0,0,0
CD300E,0,0,0,3,0,0,1,4,0,1,3,1
RAB37,304,23,207,69,16,21,30,106,128,12,9,12
CD300LF,0,0,0,0,0,0,1,0,0,1,0,1
SLC9A3R1,1629,179,1206,167,52,47,83,366,287,28,45,34
MIR3615,0,0,0,0,0,0,0,0,0,0,0,0
NAT9,843,64,592,284,62,45,66,335,300,166,207,169
TMEM104,503,36,389,90,22,13,56,263,224,43,41,22
GRIN2C,364,22,252,265,76,29,15,61,56,52,49,49
FDXR,7251,640,4929,1445,461,309,359,2218,1635,382,451,423
FADS6,0,0,0,0,0,0,0,0,0,0,0,1
USH1G,1,0,0,3,0,0,0,0,2,0,1,1
OTOP2,0,1,1,0,0,0,0,0,1,1,0,0
OTOP3,0,0,0,0,0,0,0,0,0,0,0,0
HID1,278,28,214,70,24,9,46,224,191,67,69,55
CDR2L,2230,211,1709,388,130,101,207,827,649,261,272,240
KCTD2,663,66,522,184,45,41,65,412,327,154,145,129
SLC16A5,419,54,333,93,29,23,51,243,203,59,48,49
ARMC7,135,15,111,33,13,7,21,114,89,49,38,35
NT5C,804,72,582,237,81,60,81,389,317,162,194,173
SUMO2,3462,344,2194,829,214,225,678,2611,2370,707,770,788
NUP85,884,84,619,137,34,38,122,581,454,116,103,125
GGA3,1446,175,1004,385,107,89,127,507,405,335,328,338
MRPS7,2568,263,1694,486,136,147,284,1238,1021,249,262,230
MIF4GD,233,32,174,77,17,9,45,189,148,38,29,34
LOC100287042,17,1,8,5,5,0,3,6,2,4,4,1
SLC25A19,138,11,127,16,13,3,12,72,46,8,7,8
GRB2,3190,276,2045,512,125,116,356,1695,1276,352,330,373
MIR3678,0,0,0,0,0,0,0,0,0,0,0,0
CASKIN2,244,27,156,64,23,19,21,120,92,35,34,30
TSEN54,387,38,311,69,19,17,37,205,166,38,26,43
LLGL2,1196,93,941,251,81,55,82,442,326,53,53,54
MYO15B,511,44,377,130,35,29,96,366,338,149,129,122
RECQL5,1161,84,801,223,49,56,71,377,291,111,102,101
SMIM5,8,0,3,0,1,0,2,12,6,1,4,3
SMIM6,72,12,29,10,1,5,18,37,42,9,14,16
SAP30BP,2163,157,1366,512,133,136,301,1502,1195,659,676,693
ITGB4,983,90,856,237,81,65,197,958,807,259,250,244
GALK1,827,90,640,172,46,30,63,343,259,34,45,52
H3F3B,14860,1319,9634,3871,1012,1077,2022,10046,8208,4391,4753,4836
MIR4738,0,0,1,0,0,0,0,0,0,1,0,0
UNK,965,109,643,228,79,45,83,349,285,175,166,138
UNC13D,1851,189,1534,244,70,42,19,80,108,28,31,20
WBP2,1432,151,1148,439,113,80,177,842,694,436,559,614
TRIM47,1593,151,1404,332,108,79,93,363,374,143,133,134
TRIM65,936,98,643,163,59,45,66,353,351,115,124,105
MRPL38,1654,165,1339,288,103,48,106,554,440,109,87,106
FBF1,301,32,233,102,32,5,16,103,76,27,29,31
ACOX1,1045,104,715,266,74,67,167,716,528,270,244,232
TEN1-CDK3,7,0,9,4,0,0,0,1,1,0,1,1
TEN1,0,0,0,0,0,0,0,0,0,0,0,0
CDK3,0,0,0,0,0,0,0,0,0,0,0,0
EVPL,407,36,295,205,60,47,34,186,109,139,175,219
SRP68,3165,270,2062,696,183,165,354,1650,1272,429,464,423
GALR2,23,3,28,4,2,0,1,14,5,0,0,3
ZACN,3,1,3,7,0,1,0,3,0,3,2,3
EXOC7,3187,275,2224,641,186,148,275,1162,911,209,221,186
FOXJ1,1,0,1,1,0,0,0,5,3,0,0,0
RNF157-AS1,4,0,4,0,0,0,0,0,4,0,0,0
RNF157,116,14,84,28,0,14,25,141,83,16,16,18
UBALD2,93,4,76,60,18,23,21,74,60,40,53,58
QRICH2,73,2,83,14,4,6,3,31,23,9,10,6
PRPSAP1,447,38,273,89,26,23,53,287,191,62,62,59
SPHK1,154,12,98,61,20,11,18,93,71,100,112,118
UBE2O,1663,137,1166,307,92,77,200,1054,814,380,489,450
AANAT,3,0,1,1,0,0,2,6,2,0,2,1
RHBDF2,2323,263,1904,424,143,90,110,747,633,151,160,132
CYGB,327,38,238,54,22,11,6,74,80,11,11,6
PRCD,0,2,0,0,0,0,0,2,0,0,0,0
SNHG16,2815,229,1805,880,251,245,323,1544,1308,685,664,632
SNORD1C,5,0,4,2,2,1,1,4,3,1,2,4
SNORD1B,1,0,1,0,0,0,1,0,2,2,1,1
SNORD1A,6,0,1,4,2,1,0,0,2,9,6,7
ST6GALNAC2,33,4,24,8,1,0,6,36,24,4,6,2
ST6GALNAC1,34,5,18,10,0,2,2,7,6,0,1,1
MXRA7,1029,92,677,158,54,48,207,889,888,172,193,166
JMJD6,1306,99,821,417,76,108,204,981,874,744,961,1073
METTL23,929,77,564,188,48,61,121,590,503,153,180,155
SRSF2,5237,543,3800,1318,435,330,539,2583,2251,936,911,945
MIR636,6,1,3,0,1,0,0,0,0,0,0,0
MFSD11,747,48,436,124,34,31,77,368,297,94,85,86
MGAT5B,292,38,244,97,21,15,36,196,125,31,30,24
SEC14L1,1055,97,574,165,61,46,116,565,437,256,264,248
SCARNA16,11,0,5,9,0,3,0,3,0,9,5,4
09-Sep,6761,718,5100,1010,362,258,708,3260,2575,510,504,473
MIR4316,0,0,0,0,0,0,0,0,0,0,0,0
LOC100507351,0,0,0,0,0,0,0,0,0,0,0,0
TNRC6C,117,15,80,63,12,8,25,113,59,30,33,35
TMC6,102,13,83,27,15,8,9,36,37,20,15,24
TMC8,11,0,9,0,0,0,2,5,3,1,1,0
C17orf99,1,0,0,0,0,0,0,1,1,0,0,0
SYNGR2,3502,320,2911,448,151,103,332,1606,1295,233,231,232
TK1,430,44,315,42,15,15,134,819,581,45,58,51
AFMID,96,14,81,16,9,7,17,71,59,26,18,20
BIRC5,191,24,138,62,15,13,51,315,171,25,45,46
TMEM235,0,0,0,0,0,0,0,0,0,0,0,0
SOCS3,286,34,196,381,112,65,84,332,312,497,553,544
PGS1,516,61,419,156,49,33,50,211,190,98,100,123
DNAH17,48,4,36,53,7,10,13,72,51,215,212,247
CYTH1,548,60,355,218,44,51,112,545,436,530,603,616
USP36,1206,122,709,584,136,142,142,661,525,541,558,591
TIMP2,1957,192,1421,105,26,18,323,1692,1331,286,258,242
LGALS3BP,1875,195,1464,298,97,77,366,2015,1606,902,841,630
CANT1,1739,168,1272,467,159,133,231,1175,899,511,567,551
C1QTNF1,940,91,722,280,95,72,201,974,833,636,664,684
ENGASE,1328,131,911,320,111,47,92,473,424,273,341,449
RBFOX3,302,32,203,74,24,7,53,226,153,50,39,67
MIR4739,0,0,0,0,0,0,0,0,0,0,0,0
ENPP7,0,0,1,0,0,0,0,0,0,0,0,0
CBX2,386,33,243,52,26,9,49,371,266,78,71,58
CBX8,583,35,399,130,36,45,45,232,189,79,98,95
CBX4,1349,123,972,288,119,109,109,538,428,167,185,193
TBC1D16,877,80,576,164,51,42,113,635,445,105,89,97
CCDC40,115,12,48,23,4,3,21,79,63,12,16,13
GAA,2297,220,1944,433,133,113,220,1231,912,207,194,180
EIF4A3,1445,122,903,293,107,99,254,1206,1054,367,528,655
CARD14,0,1,0,2,0,0,4,33,30,6,12,10
SGSH,361,33,251,116,21,15,39,213,183,73,70,79
SLC26A11,424,46,313,122,51,31,44,208,201,65,64,64
RNF213,8503,697,5629,2292,646,591,973,4766,3582,6049,5106,3906
LOC100294362,1,0,2,2,0,0,2,5,4,6,4,3
ENDOV,542,51,356,116,26,35,39,257,182,76,75,90
MIR4730,1,0,2,1,1,0,0,0,0,0,0,1
NPTX1,43,2,24,14,2,9,6,35,26,49,53,71
RPTOR,2106,209,1481,456,125,93,222,1135,724,232,315,299
CHMP6,654,56,514,133,41,32,53,216,181,42,48,29
BAIAP2,808,95,647,176,53,35,51,238,201,79,104,91
AATK,15,1,11,22,4,4,3,5,7,5,9,14
MIR657,0,0,0,0,0,0,0,0,0,0,0,0
MIR3065,0,0,0,0,0,0,0,0,0,0,0,0
MIR338,0,0,0,0,0,0,0,0,0,0,0,0
MIR1250,0,0,0,0,0,0,0,0,0,0,0,0
SLC38A10,2616,263,1954,387,109,83,203,1295,957,188,176,151
LINC00482,131,5,71,24,14,5,4,29,33,18,16,22
TMEM105,39,4,27,8,1,1,2,12,10,2,5,4
LOC100130370,0,0,1,0,0,1,0,1,0,3,0,1
BAHCC1,495,52,371,158,51,21,38,138,110,51,49,41
MIR4740,0,0,0,0,0,0,0,0,0,3,1,0
MIR3186,0,0,0,0,0,0,0,0,1,0,0,0
ACTG1,92308,9147,66972,16979,4795,4124,8863,47795,37787,12098,12649,11629
FSCN2,169,11,98,39,10,1,7,35,31,8,3,5
NPLOC4,3691,340,2573,592,209,146,435,2210,1635,551,528,529
TSPAN10,20,5,18,4,3,0,4,9,5,0,1,2
PDE6G,28,1,20,9,0,2,1,8,11,4,2,4
OXLD1,596,48,477,177,46,45,27,175,127,26,31,44
CCDC137,1878,184,1166,462,150,129,162,796,730,375,342,398
ARL16,573,52,340,93,19,31,74,289,256,61,64,64
HGS,3296,383,2442,753,208,179,248,1408,1127,419,448,508
MRPL12,3191,284,2172,630,259,199,245,1070,939,148,146,144
SLC25A10,656,73,541,140,43,35,58,338,273,19,14,16
GCGR,0,0,1,0,0,0,0,0,1,1,1,1
PPP1R27,1,0,1,0,1,0,1,0,0,1,1,0
P4HB,19060,1662,12739,2949,932,872,3218,15516,12465,2639,2709,2388
ARHGDIA,3270,335,2262,719,210,158,337,1719,1258,308,358,352
ALYREF,1718,176,1262,332,144,134,212,1059,815,307,339,325
ANAPC11,1028,107,938,150,56,21,144,751,624,67,67,71
NPB,0,0,1,0,0,0,0,1,3,0,0,1
PCYT2,898,89,693,140,27,15,54,304,256,68,75,60
SIRT7,1183,90,878,259,65,50,78,383,328,142,141,139
MAFG,3592,316,2346,1491,396,267,246,1310,1009,1831,1970,2110
PYCR1,1482,176,1183,266,75,71,122,600,532,53,57,61
MYADML2,0,0,0,0,0,0,0,2,3,0,1,0
NOTUM,1,0,0,0,0,0,0,4,4,3,3,3
ASPSCR1,453,41,326,96,27,16,30,164,117,22,31,33
LRRC45,115,10,91,38,7,10,18,85,56,9,8,11
RAC3,121,8,93,18,13,1,17,85,53,14,19,13
DCXR,346,30,325,51,22,13,44,264,186,22,20,33
RFNG,400,51,354,174,42,27,24,144,132,39,49,42
GPS1,2272,229,1878,388,115,90,206,1070,765,117,112,95
DUS1L,2087,202,1794,464,143,105,175,965,640,155,152,179
FASN,7742,783,5921,1024,386,242,275,1633,1183,173,196,174
CCDC57,418,26,243,88,30,22,36,174,122,43,39,49
SLC16A3,623,53,516,127,42,39,662,3187,2739,428,455,439
CSNK1D,4097,355,2959,940,277,213,493,2335,1904,1039,1020,1096
CD7,0,0,0,1,0,0,1,1,0,0,0,1
SECTM1,0,1,1,1,1,0,5,6,8,24,19,6
TEX19,21,3,14,5,1,2,4,14,16,6,12,14
UTS2R,0,0,0,0,0,0,0,0,0,0,0,0
OGFOD3,463,35,296,96,32,18,40,191,171,44,41,23
HEXDC,344,36,285,103,42,31,27,132,88,39,39,28
NARF,920,71,608,202,38,46,142,738,619,147,239,212
FOXK2,2043,201,1517,502,133,127,207,1024,774,336,383,355
WDR45B,2110,208,1336,528,129,129,356,1551,1199,699,947,1117
RAB40B,455,36,364,61,20,19,30,145,165,15,13,16
FN3KRP,629,41,400,83,22,19,115,619,485,82,104,72
FN3K,54,2,26,4,4,1,15,54,47,9,10,8
TBCD,974,81,704,160,53,42,147,823,563,94,101,105
ZNF750,0,0,0,0,0,0,0,2,0,0,0,0
B3GNTL1,70,4,45,8,9,5,8,34,22,3,8,4
METRNL,141,16,104,42,8,14,19,75,58,22,44,32
MGC70870,0,0,0,0,0,0,0,0,0,0,0,0
ROCK1P1,1,0,1,0,1,1,1,4,2,3,6,7
USP14,1275,121,812,195,78,47,213,982,711,262,276,280
THOC1,360,34,174,100,22,26,64,252,169,146,114,165
COLEC12,1,0,0,0,0,0,3,5,1,1,0,0
CETN1,0,0,0,0,0,0,0,0,0,0,0,0
CLUL1,0,0,2,0,0,0,1,1,4,1,1,3
TYMS,2930,259,1767,546,143,111,90,465,293,52,56,66
ENOSF1,646,58,449,124,44,38,104,514,417,136,148,146
YES1,986,92,494,277,79,79,170,772,633,224,236,275
ADCYAP1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00470,13,0,11,3,3,0,1,16,8,4,2,5
METTL4,163,14,111,41,5,11,21,64,63,29,26,28
NDC80,14,1,6,4,4,2,6,32,14,12,14,12
CBX3P2,3,0,2,3,0,0,1,5,1,0,0,1
SMCHD1,723,74,357,422,97,78,141,646,438,716,812,851
EMILIN2,63,7,56,25,7,4,25,61,53,18,35,35
LPIN2,1051,89,624,300,72,67,101,442,366,225,281,296
LOC727896,17,0,5,2,0,0,1,6,8,1,1,5
MYOM1,37,4,33,17,4,3,0,4,1,2,0,5
MYL12A,4942,401,2984,727,211,197,833,3476,3063,881,944,923
MYL12B,6960,578,4359,955,293,294,1168,5121,4457,1089,1193,1115
TGIF1,1530,155,1064,608,162,114,152,736,627,332,327,295
DLGAP1,2,0,0,0,0,0,0,4,2,2,3,3
DLGAP1-AS1,173,18,134,31,2,4,17,48,58,35,33,36
DLGAP1-AS3,0,0,0,0,0,0,0,0,0,0,0,0
DLGAP1-AS5,0,0,0,0,0,0,0,0,0,0,0,0
LINC00526,5,0,5,1,0,0,0,9,6,4,3,2
LINC00667,179,15,125,53,16,14,28,106,106,27,30,17
ZBTB14,175,15,94,34,16,11,32,140,104,43,40,38
EPB41L3,1,0,0,0,0,0,1,3,0,1,1,1
MIR3976,0,0,0,0,0,0,0,0,0,0,0,0
TMEM200C,0,0,0,0,0,0,0,2,0,1,0,0
L3MBTL4,0,0,0,0,0,0,0,1,4,0,0,0
MIR4317,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP28,1,1,0,0,0,0,0,0,0,0,0,0
LINC00668,0,0,0,0,0,0,0,0,0,0,0,0
LAMA1,3,0,3,4,1,0,0,5,2,0,0,1
LRRC30,0,0,0,0,0,0,0,0,0,0,0,0
PTPRM,3409,277,2142,519,140,142,391,1773,1353,499,519,517
LOC100192426,0,0,0,0,0,0,0,2,1,0,1,0
RAB12,317,38,214,92,20,23,81,330,278,163,169,162
NDUFV2,1490,106,955,324,101,97,236,1010,883,294,252,275
ANKRD12,397,45,184,248,72,47,112,454,343,769,715,826
TWSG1,263,31,175,97,22,30,65,382,342,76,91,102
RALBP1,993,80,606,148,44,40,113,597,436,103,96,91
PPP4R1,1827,147,1180,397,88,89,218,1010,787,420,435,417
RAB31,763,78,496,137,47,61,122,614,494,148,148,131
TXNDC2,1,0,2,0,1,0,0,2,0,0,1,0
VAPA,2046,205,1269,523,122,125,297,1227,1141,565,614,642
APCDD1,3,0,2,1,1,0,1,1,1,0,0,1
NAPG,417,48,237,101,34,23,68,304,250,104,103,127
PIEZO2,187,22,103,30,3,6,86,355,275,59,49,51
GNAL,187,15,138,29,12,8,17,109,77,15,19,15
CHMP1B,2025,198,1339,593,166,161,196,897,742,954,967,1096
MPPE1,259,19,167,50,22,8,12,104,82,16,25,23
IMPA2,377,41,251,73,32,24,56,258,218,48,35,39
C18orf61,11,0,9,3,0,0,1,6,5,0,0,3
CIDEA,0,0,0,0,0,0,0,0,0,0,0,0
TUBB6,2820,256,2054,518,183,169,373,1843,1444,379,374,349
AFG3L2,1161,102,743,263,74,70,158,808,621,177,171,169
SPIRE1,508,40,305,123,42,29,104,404,356,140,166,163
PSMG2,599,46,363,143,55,41,55,346,291,107,121,108
CEP76,229,25,128,102,19,21,19,114,106,64,69,60
PTPN2,319,38,217,116,20,24,63,244,181,130,126,148
SEH1L,402,26,231,94,20,21,52,253,218,69,69,97
CEP192,238,18,129,50,15,21,40,149,115,57,74,74
LDLRAD4,3,0,2,0,0,2,1,11,11,33,63,113
MIR5190,0,0,0,0,0,0,0,0,0,0,0,0
MIR4526,0,0,0,0,0,0,0,0,0,0,0,0
FAM210A,345,32,262,128,25,27,79,404,310,261,408,526
RNMT,627,62,386,197,43,58,121,580,454,598,1160,1647
MC5R,0,0,0,0,0,0,0,0,0,0,0,0
MC2R,0,0,0,0,0,0,0,0,0,0,0,0
ZNF519,12,0,4,4,1,0,4,9,18,4,2,7
ANKRD20A5P,245,19,131,90,22,15,14,98,64,46,45,36
CYP4F35P,188,17,119,45,6,10,6,46,47,16,21,18
CXADRP3,0,0,0,0,0,0,0,0,0,0,0,0
POTEC,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD30B,0,0,0,0,0,0,0,0,0,0,0,0
MIR3156-2,0,0,0,0,0,0,0,0,0,0,0,0
LOC644669,0,0,0,0,0,0,0,0,0,0,0,0
ROCK1,1021,92,614,298,93,80,203,904,613,289,314,327
GREB1L,32,3,29,5,0,1,8,61,49,13,12,11
ESCO1,296,38,160,132,19,29,86,297,211,179,207,226
SNRPD1,1249,88,607,235,81,67,178,778,638,227,302,297
ABHD3,1073,100,697,190,71,62,89,576,464,103,109,113
MIR320C1,0,0,0,0,0,0,0,1,0,0,0,0
MIB1,957,107,537,215,82,78,95,518,404,205,196,244
MIR133A1,0,0,0,0,0,0,0,0,0,0,0,0
MIR1-2,0,0,0,0,0,0,0,0,0,0,0,0
GATA6,141,13,93,61,23,8,19,138,122,132,170,201
CTAGE1,2,0,0,0,0,0,2,0,0,0,0,0
RBBP8,432,37,227,88,23,31,72,378,273,116,136,137
MIR4741,0,0,0,0,0,0,0,0,0,0,0,0
CABLES1,276,26,221,34,14,7,29,142,109,43,55,44
TMEM241,149,8,83,17,6,4,13,64,47,16,10,16
RIOK3,1079,111,672,506,113,114,188,961,787,842,1026,1204
NPC1,1636,148,1071,297,96,52,153,733,510,213,252,205
ANKRD29,585,62,357,138,29,22,33,182,122,33,28,41
LAMA3,3037,224,1860,354,87,86,226,1262,760,229,239,228
TTC39C,97,8,66,39,11,6,18,72,50,25,20,32
CABYR,495,39,284,136,25,20,45,149,147,36,43,41
OSBPL1A,384,36,216,61,24,15,52,256,200,50,51,47
MIR320C2,0,0,0,0,0,0,0,0,0,0,0,0
IMPACT,391,39,168,57,24,12,77,348,266,55,66,43
HRH4,0,0,0,0,0,0,0,0,1,1,0,0
ZNF521,0,0,0,0,0,0,0,0,0,1,0,0
SS18,1420,124,955,326,82,100,225,1052,756,240,238,254
PSMA8,0,0,0,0,0,0,0,0,0,0,0,0
TAF4B,87,9,67,31,3,10,9,58,41,29,28,34
KCTD1,1112,118,808,239,64,59,129,556,423,131,153,153
AQP4,1,0,0,0,0,0,0,0,1,0,0,0
AQP4-AS1,0,0,0,2,0,0,0,1,1,0,0,0
CHST9,1,0,2,1,0,0,0,2,0,0,0,0
CDH2,68,7,44,8,3,0,204,1032,865,171,207,197
MIR302F,0,0,0,0,0,0,0,0,0,0,0,0
DSC3,627,61,320,62,21,20,56,237,225,12,15,10
DSC2,993,110,660,157,63,44,73,313,260,50,57,68
DSC1,1,0,0,0,0,0,0,0,0,0,0,1
DSG1,0,0,0,0,0,0,0,0,0,0,0,0
DSG4,8,2,2,0,0,0,0,0,0,0,0,0
DSG3,1,0,1,0,0,0,0,0,0,1,0,1
DSG2,7345,672,4505,870,260,287,819,3862,3140,367,357,381
TTR,3,2,6,0,0,0,1,1,3,0,0,0
B4GALT6,82,10,34,18,4,5,16,76,63,27,27,28
SLC25A52,0,0,0,0,0,0,0,0,2,3,0,0
TRAPPC8,728,69,443,224,64,38,124,454,395,213,219,220
RNF125,2,0,3,1,0,0,1,4,4,2,1,1
RNF138,153,25,100,95,18,30,38,213,165,97,120,143
MEP1B,0,0,1,4,0,0,0,2,0,1,5,2
WBP11P1,0,0,1,0,0,0,0,0,0,1,0,0
KLHL14,0,0,0,0,0,0,0,0,0,0,0,0
CCDC178,3,0,3,0,0,0,0,1,1,0,2,1
ASXL3,2,0,1,3,0,0,0,0,0,0,0,0
NOL4,0,0,0,0,1,0,0,0,0,0,0,0
DTNA,5,0,2,0,0,0,2,13,18,15,13,23
MAPRE2,774,72,518,69,24,26,113,554,370,35,32,30
ZNF397,157,8,71,52,10,16,18,104,89,46,47,54
ZSCAN30,70,10,65,17,4,6,11,49,40,18,13,11
ZNF24,1330,139,732,686,175,185,169,895,637,840,906,991
ZNF396,15,1,9,11,0,1,3,20,19,6,4,9
INO80C,433,36,279,49,25,21,34,164,138,68,57,57
MIR3975,0,0,0,0,0,0,0,0,0,0,0,0
GALNT1,3422,337,2022,604,164,158,644,3316,2585,367,381,386
MIR187,0,0,0,0,0,0,0,0,0,0,0,0
C18orf21,242,22,156,97,24,21,39,135,116,67,70,75
RPRD1A,517,65,347,150,39,45,70,437,308,152,173,185
SLC39A6,1125,107,699,189,58,81,215,986,731,164,186,183
ELP2,645,60,384,93,28,32,73,434,321,86,83,89
MOCOS,102,5,77,17,3,2,24,139,106,51,33,31
FHOD3,37,2,31,10,3,2,25,137,87,79,86,79
TPGS2,1016,91,726,140,51,37,144,672,504,85,85,69
KIAA1328,15,0,19,3,4,1,2,15,11,7,5,10
CELF4,0,0,0,0,0,0,1,1,1,1,0,0
MIR4318,0,0,0,0,0,0,0,0,0,0,0,0
MIR5583-2,0,0,0,0,0,0,0,0,0,0,0,0
MIR5583-1,0,0,0,0,0,0,0,0,0,0,0,0
KC6,0,0,0,0,0,0,0,0,0,0,0,0
PIK3C3,385,37,252,68,25,32,58,304,263,172,229,244
RIT2,0,0,0,0,0,0,0,0,0,0,0,0
SYT4,0,0,0,0,1,0,0,0,0,0,0,0
SETBP1,37,1,18,11,1,1,6,42,41,23,15,27
MIR4319,0,0,0,0,0,0,0,0,0,0,0,0
SLC14A2,1,0,0,0,0,0,0,0,1,0,2,0
SLC14A1,0,0,0,0,0,0,0,2,0,0,0,0
SIGLEC15,0,0,0,0,0,0,0,0,0,0,0,0
EPG5,591,51,370,90,48,20,66,406,321,179,166,156
PSTPIP2,6,0,2,7,0,0,1,3,4,9,9,7
HAUS1,138,25,112,31,12,4,43,169,131,22,29,23
C18orf25,519,50,272,251,40,33,52,328,207,233,250,249
RNF165,4,1,2,1,0,0,0,5,6,3,5,7
LOXHD1,0,0,0,0,0,0,0,0,1,0,0,0
ST8SIA5,0,0,0,0,0,0,0,1,0,0,1,0
PIAS2,203,32,152,68,20,16,31,160,130,42,61,36
KATNAL2,135,6,76,18,5,10,6,44,35,6,14,22
HDHD2,576,59,349,100,35,20,75,321,257,63,65,55
IER3IP1,491,37,280,124,35,26,126,501,410,89,115,178
SMAD2,1015,97,594,324,76,63,133,600,554,355,343,348
ZBTB7C,12,1,8,4,1,3,0,5,5,4,2,4
CTIF,726,61,483,176,47,39,53,275,268,80,101,107
MIR4743,0,0,0,0,0,0,0,0,0,0,0,0
SMAD7,543,44,357,191,48,42,54,271,269,225,293,255
DYM,287,32,171,77,14,19,66,280,194,51,46,56
MIR4744,0,0,0,0,0,0,0,0,0,0,0,0
C18orf32,7,0,13,5,1,2,0,0,1,0,0,0
RPL17-C18orf32,0,0,0,0,0,0,0,0,0,0,0,0
MIR1539,0,0,0,0,0,0,0,0,0,0,0,0
RPL17,193,19,128,42,14,11,38,154,94,27,23,20
SNORD58C,8,1,5,0,0,0,0,3,3,2,1,3
SNORD58A,18,0,1,7,2,1,0,5,1,4,12,5
SNORD58B,0,0,0,0,0,0,0,0,0,0,0,0
LIPG,21,4,19,4,1,0,8,48,54,13,11,11
ACAA2,1505,127,935,158,47,35,210,1026,876,116,120,110
SCARNA17,11,2,7,15,0,0,1,7,5,2,3,3
MYO5B,514,33,312,66,14,13,74,264,289,43,77,39
MIR4320,0,0,0,0,0,0,0,0,0,0,0,0
MBD1,966,77,642,305,57,75,82,432,305,312,306,325
CXXC1,491,51,356,107,39,23,37,202,137,42,49,55
SKA1,15,2,9,2,2,1,10,36,15,5,8,6
MAPK4,5,0,9,3,0,0,0,3,1,0,0,1
MRO,4,0,0,0,0,1,2,0,2,0,0,0
ME2,835,76,466,135,39,46,151,626,527,113,115,118
ELAC1,79,10,39,16,3,3,12,49,41,8,4,4
SMAD4,591,68,402,175,43,52,92,436,382,165,219,235
MEX3C,877,86,649,514,113,115,98,500,413,703,775,754
DCC,0,0,0,0,0,0,0,2,1,0,0,0
MBD2,641,87,418,190,46,39,121,499,466,177,215,176
SNORA37,1,0,0,4,0,0,0,0,0,0,2,0
POLI,216,19,105,71,17,21,32,128,117,79,107,106
STARD6,0,0,0,3,0,0,0,0,0,0,0,0
C18orf54,9,1,1,7,0,1,7,24,21,5,9,13
DYNAP,0,0,0,0,0,0,0,0,0,0,0,0
RAB27B,1529,185,964,330,115,108,224,1065,953,311,237,255
CCDC68,339,25,214,69,31,21,39,196,159,36,54,55
TCF4,17,2,10,13,2,0,16,61,58,22,25,17
MIR4529,0,0,0,0,0,0,0,0,0,0,0,0
TXNL1,1044,86,602,240,48,53,163,739,663,223,241,248
WDR7,251,22,170,54,17,14,42,213,114,46,44,51
LINC-ROR,0,0,0,0,0,0,0,2,0,0,0,0
BOD1L2,0,0,0,0,0,0,0,0,0,0,0,1
ST8SIA3,0,0,0,0,0,0,0,0,0,0,0,0
ONECUT2,468,50,336,148,38,33,36,143,128,41,29,42
FECH,1346,131,853,166,66,66,124,582,448,54,64,50
NARS,4569,425,2684,713,211,238,563,2649,2112,466,495,532
LOC100505549,21,1,17,6,1,2,3,5,11,1,0,2
ATP8B1,1577,133,932,180,51,51,152,669,654,128,86,88
NEDD4L,1374,115,882,503,128,112,124,619,524,924,939,987
MIR122,0,0,0,0,0,0,0,0,0,0,0,0
MIR3591,0,0,0,0,0,0,0,0,0,0,0,0
ALPK2,2871,251,1777,455,126,147,251,997,894,282,267,227
MALT1,593,60,400,157,38,40,132,599,459,190,177,186
ZNF532,1749,147,1077,390,117,131,166,743,645,267,280,252
OACYLP,0,0,0,0,0,0,0,0,0,0,0,0
SEC11C,693,70,383,116,45,36,106,429,361,67,86,87
GRP,0,0,0,0,0,0,0,0,0,0,0,0
RAX,0,0,0,0,0,0,1,1,0,0,0,0
CPLX4,0,0,1,1,0,0,0,0,0,0,0,0
LMAN1,1253,117,737,334,94,91,259,1412,1045,263,301,362
CCBE1,26,1,16,1,0,0,7,51,36,26,22,39
PMAIP1,636,81,422,455,117,104,79,504,400,458,552,469
MC4R,5,0,0,4,0,1,0,2,4,1,0,0
CDH20,0,0,0,0,0,0,0,0,0,0,0,0
RNF152,1,0,1,0,0,0,0,0,0,0,5,0
PIGN,275,25,139,39,4,8,46,256,200,32,45,43
TNFRSF11A,76,8,51,19,4,9,32,150,103,60,68,89
